Nome;Latitudine;Longitudine;Indirizzo;Categoria;Macro_Categoria;p1_capire_diagnosi_orientarsi;p2_gestire_quotidianità;p3_uscire_casa_restare_attivo;p4_non_isolarsi;p5_comportamento_memoria;p6_questioni_pratiche_burocratiche;p7_caregiver;Fonte;Telefono;Web;Nome_icona
Auxologico San Luca — Mosè Bianchi — CDCD;45,4750186;9,1460516;Via Mosè Bianchi 90, Milano;IRCCS / CDCD;sanitario;"Visita neurologica e multidisciplinare c/o Centro Disturbi Cognitivi; ambulatorio Brain Health";;;;"Visita di controllo; riabilitazione cognitiva";;Colloqui psicologici di supporto a pazienti e caregiver;https://www.auxologico.it/centro-disturbi-cognitivi-demenze-cdcd;Tel. 02619112665 — CUP 02619112501;centrodisturbicognitivi@auxologico.it;icon-ospedale.png
URP - Ufficio Relazioni con il Pubblico;45.517879;9.12119;VIA G. B. GRASSI, 74;URP - Ufficio Relazioni con il Pubblico;sanitario;;;;;;;;;;;icon-sportello-locale.png
URP - Ufficio Relazioni con il Pubblico;45.486008;9.167098;VIA L. CASTELVETRO, 32;URP - Ufficio Relazioni con il Pubblico;sanitario;;;;;;;;;;;icon-sportello-locale.png
URP - Ufficio Relazioni con il Pubblico;45.479479;9.19182;P.LE PRINCIPESSA CLOTILDE, 3;URP - Ufficio Relazioni con il Pubblico;sanitario;;;;;;;;;;;icon-sportello-locale.png
URP - Ufficio Relazioni con il Pubblico;45.485014;9.219059;VIA RICORDI, 1;URP - Ufficio Relazioni con il Pubblico;sanitario;;;;;;;;;;;icon-sportello-locale.png
URP - Ufficio Relazioni con il Pubblico;45.441128;9.217476;VIA OGLIO, 18;URP - Ufficio Relazioni con il Pubblico;sanitario;;;;;;;;;;;icon-sportello-locale.png
Sportello Alzheimer ASST Niguarda — Centro di Neuropsicologia Cognitiva;45,5105034;9,1881707;Piazza dell'Ospedale Maggiore 3, 20162 Milano;Presidio ospedaliero ambulatoriale;sociosanitario;"Sportello di orientamento post-diagnosi per familiari e pazienti; informazioni sulla rete dei servizi territoriali";;;;"Neuropsicologia cognitiva; valutazione e monitoraggio";;;https://www.ospedaleniguarda.it/strutture/info/centro-neuropsicologia-cognitiva | https://www.deborahgiovanati.it/sportello-alzheimer-una-realta-territoriale-imprescindibile/;—;—;icon-poliambulatorio.png
Poliambulatorio P.le Accursio;45.491683;9.145353;Piazzale Accursio, 7;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Via Andrea Doria;45.486049;9.215274;Via Andrea Doria, 52;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
POLIAMBULATORIO DON BOSCO;45.443234;9.214613;Via Don Bosco;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Ippocrate;45.521636;9.164146;Via Ippocrate, 45;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Livigno;45.497611;9.178851;Via Livigno, 2/A;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Via Masaniello;45.462891;9.090955;Via Masaniello, 23;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
POLIAMBULATORIO MONTE PALOMBINO;45.431730;9.243937;Via Monte Palombino, 4;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Piranesi;45.460998;9.229821;Via Piranesi, 39;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Via Ripamonti;45.449824;9.196856;Via Ripamonti, 20;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
POLIAMBULATORIO VIA RUGABELLA;45.458748;9.188787;Via Rugabella, 4/6;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Saint Bon;45.460219;9.121323;Via Saint Bon, 3;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Via Stromboli;45.458651;9.157903;Via Stromboli, 19;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Poliambulatorio Via Baroni;45.412275;9.171568;Via Baroni, 48;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
POLIAMBULATORIO VIA DON ORIONE;45.501608;9.237359;Via Don Orione, 2;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
POLIAMBULATORIO Via G. Antonio Sassi;45.466679;9.171834;Via Antonio Sassi, 4;Poliambulatorio territoriale;sociosanitario;;;;;;;;;;;icon-poliambulatorio.png
Centro di Incontro e Supporto (Dott.ssa Pacenza);45,4389071;9,1368385;Via Crivelli 5, Milano;Centri di Incontro e Supporto;sociosanitario;;;Attività di stimolazione cognitiva e psicomotricità (tre mezze giornate/settimana, 9-13);;;Gruppo di supporto per caregiver;Gruppo di supporto per caregiver;https://it.linkedin.com/company/piccolo-principe-societ%C3%A0-cooperativa-onlus;Tel. 3284372001;—;icon-centro-culturale-terapeutico.png
Sociosfera — Servizi di prossimità;45,487171;9,1549398;Via Teodorico 4, Milano;Cooperativa sociale;sociosanitario;;"Servizio badanti; servizio pasti a domicilio";Laboratori 'Alleniamo la Mente': stimolazione cognitiva per over 65 in centri di prossimità e centri anziani;;;Centro di Psicologia e Pedagogia Sociosfera: supporto psicologico;"Gruppi di supporto per caregiver di persone con demenza; colloqui psicologici (Centro di Psicologia e Pedagogia)";https://www.sociosfera.it/ | https://www.sociosfera.it/anziani-in-mente-sociosfera/;Tel. 0289919333 — 3346103043;serviziprivati.mi@sociosfera.it — infocentri@sociosfera.it;icon-cooperativa.png
EQUA Cooperativa Sociale — Smart 4 Alzheimer;45,50259;9,142;Via Bicetti de' Buttinoni 15, Milano;Cooperativa sociale;sociosanitario;"Orientamento informativo sulla rete dei servizi e risorse territoriali; case manager come interlocutore unico per la famiglia";"Assistenza domiciliare con OSS/fisioterapista; accompagnamento (spesa, uscite concordate)";"Attività di stimolazione fisica e cognitiva; interventi riabilitativi a indirizzo ludico/occupazionale";;Monitoraggio problematiche comportamentali e disturbi del comportamento;Case manager orienta e supporta nel percorso burocratico-assistenziale;"Sollievo dal carico assistenziale per le famiglie; case manager come riferimento stabile per il caregiver";https://equacooperativa.it/project/smart4-alzheimer/;Tel. 0235974500 — coord. 3283443531;www.equacooperativa.it — federico.stevan@equacooperativa.it;icon-cooperativa.png
Centro di Psicologia e Pedagogia Sociosfera;45,487171;9,1549398;Via Teodorico 4, Milano;Cooperativa sociale;sociosanitario;;;;;;Supporto psicologico per caregiver;Supporto psicologico e consulenza psico-pedagogica per caregiver;https://www.sociosfera.it/;Tel. 3346103043;infocentri@sociosfera.it;icon-centro-psicologico.png
Cooperativa 'Il Piccolo Principe';45,4407127;9,1744801;Via Rimini, Milano;Cooperativa sociale;sociosanitario;;Ricerca e gestione assistenti familiari/badanti qualificati (servizio ConCura);Alzheimer Café: attività di musicoterapia, canto, suono in gruppo (4 zone di Milano);Alzheimer Café: spazio di incontro e socializzazione per persone con demenza e familiari;Musicoterapia per riduzione disturbi comportamentali (2 volte/mese per zona);;"Alzheimer Café: spazio di confronto tra caregiver; progetto Cure Plurime con gruppi dedicati ai familiari";https://piccoloprincipeonlus.org/alzheimer-cafe/ | https://piccoloprincipeonlus.org/assistenza/;Tel. 0284893234 — 0258111712;info@piccoloprincipe.org — info@concura.eu;icon-cooperativa.png
Cooperativa RIPARI;45,4615363;9,1961926;Via Della Signora, Milano;Cooperativa sociale;sociosanitario;;Ricerca e gestione badanti/assistenti familiari (operatrici con attestato ASA/OSS);;;;;;https://www.aclimilano.it/assistenza-domiciliare/;Tel. 0276017553 — 50033128;ricerca.badanti@aclimilano.com;icon-cooperativa.png
Paloma 2000;;;X;Cooperativa sociale;sociosanitario;;Servizio di custode sociale (accreditato e privato);;;;;;;—;—;icon-cooperativa.png
Nuovi Orizzonti;45,4864673;9,214241;Via Sabaudia 8, Milano;Cooperativa sociale;sociosanitario;;Servizio di Assistenza Domiciliare (SAD);;;;;;;—;adi.servizi@nuoviorizzonticooperativa.it;icon-cooperativa.png
Ancora Servizi;;;X;Cooperativa sociale;sociosanitario;;Servizio SAD su tutto il territorio milanese;;;;;;;—;—;icon-cooperativa.png
Cooperativa EQUA — custode sociale / SAD;45,50259;9,142;Via Bicetti de' Buttinoni 15, Milano;Cooperativa sociale;sociosanitario;;Servizi con OSS e ASA, accompagnamento (spesa, piccole uscite concordate);;;;;;;Tel. 0235974500;www.equacooperativa.it;icon-cooperativa.png
COGESS;;;X;Cooperativa sociale;sociosanitario;;"Servizio SAD; custodia sociale (Municipio 9)";;;;;;;—;—;icon-cooperativa.png
Coop. La Strada;45,473702;9,170685;Milano (prevalentemente Zona 4);Cooperativa sociale;sociosanitario;;"Servizio SAD; custodia sociale (spesa, disbrigo pratiche)";;Relazione continuativa col paziente incluso contatto telefonico periodico;Relazione continuativa col paziente, anche contatto telefonico;;;https://www.aclimilano.it/assistenza-domiciliare/;Tel. 0255213838;—;icon-cooperativa.png
Spazio Aperto Servizi;;;X;Cooperativa sociale;sociosanitario;;"Custodia sociale (accesso tramite Comune di Milano; ISEE max 13.200€)";Ginnastica dolce, yoga, arteterapia nell'ambito della custodia sociale;;;;;https://equacooperativa.it/project_tag/anziani/;—;—;icon-cooperativa.png
A Casa Tua s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;milano@acasatuasrl.it — 0250301295 / 800661899;—;icon-ente-gestore-adi.png
A.A.C. Aurea Assistenza e Cura Gestioni s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;postmaster@curedomiciliare.it — 0251620199;—;icon-ente-gestore-adi.png
A.M.P. Paxme Domiciliare Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@paxme.com;—;icon-ente-gestore-adi.png
ABC Unisalus s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;attivazioni.adi@unisalus.it — 0245481129 / 3466093422;—;icon-ente-gestore-adi.png
Adi Sanitas s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adisanitas@gmail.com — 0238239549;—;icon-ente-gestore-adi.png
Ale.Mar Cooperativa Sociale Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@alemaronlus.it — 038173703;—;icon-ente-gestore-adi.png
AQuA s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info@assoaqua.it — 0236552585;—;icon-ente-gestore-adi.png
ASST Fatebenefratelli-Sacco;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;udo.curedomiciliari@asst-fbf-sacco;—;icon-ente-gestore-adi.png
Centro Medico Sanitario Ro.Pa.Ri s.r.l. (La Viscontea);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;la.viscontea@virgilio.it — 0381691547;—;icon-ente-gestore-adi.png
Consorzio Domicare Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;consorzio@consorziodomicare.it — 0248752022;—;icon-ente-gestore-adi.png
Consorzio Sanlab;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info@consorziosanlab.it — 039366330;—;icon-ente-gestore-adi.png
Cooperativa ASS.I.S.TE. Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;domiciliare.milano@assiste — 0249580498;—;icon-ente-gestore-adi.png
Coop. Sociale e di Lavoro Operatori Sanitari Associati (OSA);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info@osa.coop — 037382105;—;icon-ente-gestore-adi.png
Coop. Sociale Nuova Sair Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;cure.domiciliari@nuovasair — 0236763541;—;icon-ente-gestore-adi.png
Coop. Sociale Rieducazione Motoria Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adimilano@crmsociale.it — 023581439;—;icon-ente-gestore-adi.png
Finisterre s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;milanocitta@finisterre.med — 0273952837;—;icon-ente-gestore-adi.png
Fondazione Biffi Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info@fondazionebiffi.it — 0248302825;—;icon-ente-gestore-adi.png
Fondazione Don Carlo Gnocchi Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi.mi.palazzolo@dongnocchi.it — 0238253101;—;icon-ente-gestore-adi.png
Fondazione Istituto dei Ciechi di Milano Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adinonvedenti.istciechi@gmail — 0277226271;—;icon-ente-gestore-adi.png
Fondazione Maddalena Grassi;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;assistenza@fondazionemaddalena — 0236569668;—;icon-ente-gestore-adi.png
Fondazione Ospedale Marchesi di Inzago;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;direzionegenerale@fondazionemarchesi.it — 0295312343;—;icon-ente-gestore-adi.png
Global Insubria Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;info-globalinsubria@libero — 0239989761;—;icon-ente-gestore-adi.png
Home Nursing La Rugiada Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;hnrugiada.coordinamento@gmail.com — 0273952837;—;icon-ente-gestore-adi.png
Insubria Assistenza Medicina e Salute;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@insubriassistenza.it — 0331333733;—;icon-ente-gestore-adi.png
Istituto Geriatrico Milanese s.p.a.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;assistentesociale@igm-care — 02487887;—;icon-ente-gestore-adi.png
La Casa del Sole Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@lacasadelsole.net — 0289126551;—;icon-ente-gestore-adi.png
LAM Centro Biomedico s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;coordinamento@lamcentro — 3405338052 / 0363760030;—;icon-ente-gestore-adi.png
Life Cure s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;—;—;icon-ente-gestore-adi.png
Sapio (adi.lombardia@sapio.it);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi.lombardia@sapio.it — 03983981;—;icon-ente-gestore-adi.png
Linde Medicale s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi.lombardia@linde.com — 0296248544;—;icon-ente-gestore-adi.png
Lo Scrigno Magico Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;scrignoadi@tiscali.it — 038154068;—;icon-ente-gestore-adi.png
Medicasa Italia s.p.a.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;medicasa.milano@airliquide — 800209288;—;icon-ente-gestore-adi.png
Mosaico Home Care s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;curedomiciliari.milano.mosaico — 800520999;—;icon-ente-gestore-adi.png
Multimedica s.p.a.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@multimedica.it — 0224209043;—;icon-ente-gestore-adi.png
Nurseitalia s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;iptorricelli@nurseitalia.it — 3494593847;—;icon-ente-gestore-adi.png
Opera Pia Francesca Colleoni De Maestri — Impresa Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;paolo.cerruti@fondazionecolleoni.it — 0331880356;—;icon-ente-gestore-adi.png
Paloma 2000 Coop. Sociale a r.l. Onlus;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;asl@paloma2000.it — 0229536073;—;icon-ente-gestore-adi.png
Punto Service Coop. Sociale a r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;assistenzadomiciliare@puntoservice.org — 026460809;—;icon-ente-gestore-adi.png
Sociosfera Soc. Coop. Sociale Onlus (ADI);;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;coord.adi@sociosfera.it — 3489111924;—;icon-ente-gestore-adi.png
Spazio Vita Niguarda Soc. Coop. Sociale;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@spaziovitaniguarda.coop — 0266114333;—;icon-ente-gestore-adi.png
Trust Medical s.r.l.;;;X;Ente gestore ADI;sociosanitario;;Cure domiciliari / assistenza domiciliare integrata (ADI);;;;;;;adi@trustmedical.it — 0287338090;—;icon-ente-gestore-adi.png
